"site_id","latitude","longitude","postcode"
"   409",52.65096,0.56772,"PE"
"   411",52.95201,0.50056,"PE"
"   412",52.47829,0.66996,"IP"
"   413",52.45875,0.6729,"IP"
"   414",52.77075,0.77977,"NR"
"   415",52.78609,0.73921,"PE"
"   416",52.85043,0.75663,"NR"
"   417",52.38635,1.05394,"IP"
"   418",52.67914,0.96039,"NR"
"   419",52.68479,0.95042,"NR"
"   420",52.85879,1.07515,"NR"
"   421",52.949,1.12413,"NR"
"   422",52.55429,1.04066,"NR"
"   423",52.66252,1.21815,"NR"
"   424",52.92421,1.3179,"NR"
"   425",52.92792,1.31372,"NR"
"   426",52.93318,1.29273,"NR"
"   427",52.36458,1.1597,"IP"
"   428",52.66126,1.329,"NR"
"   429",52.75633,1.35321,"NR"
"   430",52.47304,1.43113,"NR"
"   431",52.63631,1.50749,"NR"
"   432",52.57162,1.74002,"NR"
"   433",52.68566,1.68908,"NR"
"   434",52.37197,0.47252,"IP"
"   435",52.26008,0.56723,"IP"
"   436",52.09022,0.62961,"CO"
"   437",52.05981,1.28552,"IP"
"   438",52.33996,0.77203,"IP"
"   439",51.95917,1.02498,"CO"
"   440",52.12342,0.9591,"IP"
"   441",52.23537,0.9747,"IP"
"   442",52.16229,1.28136,"IP"
"   443",51.94621,1.32669,"IP"
"   444",52.01178,1.26596,"IP"
"   445",52.24694,1.62235,"IP"
"   446",52.4332,1.62083,"NR"
"   447",51.93564,0.87479,"CO"
"   448",52.14672,1.60483,"IP"
"   449",52.48956,1.74631,"NR"
"   450",52.25636,-0.02631,"CB"
"   451",52.25104,-0.03094,"CB"
"   452",52.42142,0.10167,"CB"
"   453",52.54924,0.0945,"PE"
"   454",52.1935,0.13113,"CB"
"   455",52.24501,0.10196,"CB"
"   456",52.40121,-0.23532,"PE"
"   457",52.35312,-0.11452,"PE"
"   458",52.01405,-0.59457,"MK"
"   459",51.88523,-0.53816,"LU"
"   461",52.22654,-0.46376,"MK"
"   462",52.14732,-0.4302,"MK"
"   463",51.89626,-0.41716,"LU"
"   464",52.00945,-0.4088,"MK"
"   465",52.10404,-0.4215,"MK"
"   466",51.8813,-0.37555,"LU"
"   468",51.72341,-0.54194,"HP"
"   469",51.66194,-0.32642,"WD"
"   470",51.70143,-0.37476,"AL"
"   471",51.80624,-0.35858,"AL"
"   472",51.75556,-0.28595,"AL"
"   473",51.97629,-0.22795,"SG"
"   474",51.99626,-0.24027,"SG"
"   475",51.77545,-0.09376,"SG"
"   476",51.77281,0.01368,"SG"
"   477",51.77685,-0.01541,"EN"
"   478",51.78298,0.09796,"CM"
"   479",51.95402,0.08847,"SG"
"   480",52.03499,0.08641,"SG"
"   481",51.6634,0.04298,"IG"
"   482",51.77671,0.09622,"CM"
"   483",51.76977,0.13214,"CM"
"   484",51.88048,0.22456,"CM"
"   485",52.0226,0.22286,"CB"
"   486",51.50589,0.42822,"SS"
"   487",51.73302,0.43079,"CM"
"   488",52.05874,0.49341,"CO"
"   489",51.51213,0.51648,"SS"
"   490",51.64051,0.58624,"SS"
"   491",51.94638,0.64697,"CO"
"   492",51.53401,0.70517,"SS"
"   493",51.72576,0.69778,"CM"
"   494",51.92623,0.70252,"CO"
"   495",51.60283,0.60527,"SS"
"   496",51.5314,0.73943,"SS"
"   497",51.53606,0.80914,"SS"
"   498",51.55423,0.82872,"SS"
"   500",51.91635,0.92737,"CO"
"   501",51.77397,1.11244,"CO"
"   502",51.78468,1.14944,"CO"
"   503",51.85072,1.26735,"CO"
"   504",51.85449,1.28184,"CO"
"   505",51.92103,1.26227,"CO"
"   506",53.53232,-1.85515,"HD"
"   507",53.98737,-2.43317,"BB"
"   509",54.09961,-2.16228,"BD"
"   510",53.66274,-1.95005,"HX"
"   511",53.72114,-2.10155,"OL"
"   512",53.84605,-1.86015,"BD"
"   513",53.81101,-1.86526,"BD"
"   514",53.64452,-1.7534,"HD"
"   515",53.65544,-1.829,"HD"
"   516",53.81341,-1.77234,"BD"
"   517",53.92688,-1.80962,"LS"
"   518",53.32566,-1.54052,"S"
"   519",53.35344,-1.51619,"S"
"   520",53.33104,-1.53596,"S"
"   521",53.6129,-1.6639,"HD"
"   522",53.72785,-1.64378,"WF"
"   523",53.80038,-1.55965,"LS"
"   524",54.01513,-1.53754,"HG"
"   525",53.38101,-1.48986,"S"
"   526",53.38298,-1.48728,"S"
"   527",53.43249,-1.5824,"S"
"   528",53.67432,-1.50495,"WF"
"   529",53.62819,-1.39273,"WF"
"   530",54.0153,-1.58333,"HG"
"   531",53.42544,-1.34529,"S"
"   532",53.68416,-1.31403,"WF"
"   533",53.8356,-1.1973,"LS"
"   534",53.86866,-1.31722,"LS"
"   535",53.82747,-1.14671,"YO"
"   536",53.92251,-1.16103,"YO"
"   537",53.54866,-0.97055,"DN"
"   538",53.96658,-2.02897,"BD"
"   539",53.25769,-1.91242,"SK"
"   540",53.33638,-1.88585,"SK"
"   541",53.00888,-1.72276,"DE"
"   542",52.73673,-1.6396,"DE"
"   543",52.93535,-1.50449,"DE"
"   544",53.22702,-1.609,"DE"
"   545",53.28786,-1.57772,"S"
"   546",52.83934,-1.55161,"DE"
"   547",52.92195,-1.52547,"DE"
"   548",53.01707,-1.48418,"DE"
"   549",53.16221,-1.47829,"S"
"   550",52.92619,-1.46592,"DE"
"   551",52.95672,-1.42764,"DE"
"   552",53.19419,-1.4336,"S"
"   553",53.24066,-1.42455,"S"
"   554",52.8361,-1.24961,"LE"
"   555",52.99926,-1.29036,"NG"
"   556",53.00528,-1.24969,"NG"
"   557",52.91112,-1.18651,"NG"
"   558",53.15118,-1.18796,"NG"
"   559",52.94955,-1.15304,"NG"
"   560",52.87796,-1.07716,"NG"
"   561",53.22258,-1.11439,"NG"
"   562",53.48244,-1.00682,"DN"
"   564",53.064,-0.96125,"NG"
"   565",53.33815,-0.9546,"DN"
"   566",53.39586,-0.92998,"DN"
"   567",53.34035,-0.89897,"DN"
"   568",52.89539,-0.9073,"NG"
"   569",52.6804,-1.21564,"LE"
"   571",52.61264,-1.0665,"LE"
"   572",52.63286,-1.1237,"LE"
"   573",52.63162,-1.07939,"LE"
"   574",52.73128,-0.99431,"LE"
"   575",52.52916,-0.7252,"LE"
"   576",52.72698,-0.65439,"LE"
"   577",52.22099,-1.00299,"NN"
"   578",52.27316,-0.87937,"NN"
"   579",52.30888,-0.70176,"NN"
"   580",52.33763,-0.54531,"NN"
"   581",52.60335,-0.30908,"PE"
"   583",52.61146,-0.46632,"PE"
"   585",52.44906,-1.92495,"B"
"   586",52.45408,-1.92295,"B"
"   587",52.47514,-1.93374,"B"
"   588",52.17284,-1.77479,"CV"
"   589",52.1728,-1.75577,"CV"
"   590",52.19169,-1.76006,"CV"
"   592",52.06385,-1.68926,"CV"
"   593",52.4524,-1.74099,"B"
"   595",52.35844,-1.32987,"CV"
"   596",52.20539,-1.60345,"CV"
"   597",52.39887,-1.57373,"CV"
